"slider_crank_v2"

"Time      "	".JOINT_3.Element_Force.X"	".JOINT_3.Element_Force.Y"	".JOINT_3.Element_Force.Mag"
0.000000e+00	-1.060876e-15	2.188736e-01	2.188736e-01
1.000000e-03	2.102504e-03	2.188868e-01	2.188969e-01
2.000000e-03	4.658597e-03	2.188998e-01	2.189494e-01
3.000000e-03	1.245556e-02	2.189066e-01	2.192607e-01
4.000000e-03	1.968130e-02	2.189086e-01	2.197916e-01
5.000000e-03	3.091277e-02	2.189106e-01	2.210824e-01
6.000000e-03	4.323388e-02	2.188819e-01	2.231109e-01
7.000000e-03	6.017640e-02	2.188461e-01	2.269687e-01
8.000000e-03	7.815147e-02	2.187786e-01	2.323182e-01
9.000000e-03	9.926846e-02	2.186610e-01	2.401392e-01
1.000000e-02	-1.471781e+01	1.706409e+02	1.712744e+02
1.100000e-02	4.347702e-02	2.840196e-01	2.873280e-01
1.200000e-02	3.887056e-02	2.205128e-01	2.239126e-01
1.300000e-02	3.388063e-02	2.189783e-01	2.215838e-01
1.400000e-02	3.405763e-02	2.189467e-01	2.215797e-01
1.500000e-02	3.185240e-02	2.189699e-01	2.212745e-01
1.600000e-02	3.411438e-02	2.189739e-01	2.216153e-01
1.700000e-02	3.802708e-02	2.189650e-01	2.222425e-01
1.800000e-02	4.481846e-02	2.189463e-01	2.234864e-01
1.900000e-02	5.262869e-02	2.189107e-01	2.251481e-01
1.932463e-02	-5.525337e-02	1.581757e+00	1.582722e+00
1.962189e-02	3.489739e-02	2.189953e-01	2.217584e-01
2.000000e-02	3.328759e-02	2.190084e-01	2.215237e-01
2.100000e-02	4.292989e-02	2.189784e-01	2.231468e-01
2.200000e-02	3.838880e-02	2.190114e-01	2.223503e-01
2.300000e-02	4.053430e-02	2.190138e-01	2.227332e-01
2.392195e-02	1.605815e-02	4.984792e-01	4.987378e-01
2.400000e-02	-1.315552e+00	1.584783e+01	1.590234e+01
2.441730e-02	4.408633e-02	2.190048e-01	2.233981e-01
2.500000e-02	4.151089e-02	2.190307e-01	2.229296e-01
2.600000e-02	4.128335e-02	2.190496e-01	2.229059e-01
2.628073e-02	-4.610562e-01	6.009558e+00	6.027218e+00
2.673394e-02	-3.338406e-04	7.012760e-01	7.012761e-01
2.700000e-02	1.688780e-02	4.966312e-01	4.969183e-01
2.800000e-02	3.456358e-02	2.888494e-01	2.909100e-01
2.900000e-02	-1.454821e-01	2.371192e+00	2.375651e+00
2.966731e-02	4.007508e-02	2.190902e-01	2.227252e-01
3.000000e-02	7.270187e-04	6.401002e-01	6.401006e-01
3.061090e-02	2.297729e-02	4.177321e-01	4.183635e-01
3.100000e-02	-1.794488e-02	8.983509e-01	8.985301e-01
3.172770e-02	4.121349e-02	2.191169e-01	2.229591e-01
3.200000e-02	-1.020952e-01	1.856008e+00	1.858814e+00
3.254460e-02	4.119325e-02	2.191229e-01	2.229613e-01
3.284820e-02	4.986662e-03	6.228856e-01	6.229056e-01
3.300000e-02	-1.080478e-02	7.073268e-01	7.074094e-01
3.400000e-02	-3.750979e-04	6.898192e-01	6.898193e-01
3.500000e-02	6.061829e-04	6.889443e-01	6.889446e-01
3.533333e-02	2.442714e-02	4.069409e-01	4.076733e-01
3.600000e-02	-2.321618e-02	9.460341e-01	9.463189e-01
3.700000e-02	-2.118042e-03	6.985904e-01	6.985936e-01
3.800000e-02	-2.077998e-04	6.952948e-01	6.952999e-01
3.900000e-02	1.364051e-03	6.744034e-01	6.744097e-01
4.000000e-02	-5.100635e-03	7.224138e-01	7.224318e-01
4.100000e-02	-3.869005e-04	6.819616e-01	6.819617e-01
4.200000e-02	-3.767916e-04	6.902517e-01	6.902518e-01
4.300000e-02	6.475377e-04	6.890629e-01	6.890632e-01
4.400000e-02	1.530511e-03	6.894232e-01	6.894249e-01
4.500000e-02	-1.671045e-03	6.994350e-01	6.994441e-01
4.600000e-02	3.576566e-03	6.796461e-01	6.796556e-01
4.700000e-02	5.409155e-03	6.287002e-01	6.287258e-01
4.800000e-02	-8.764742e-03	7.613316e-01	7.613854e-01
4.900000e-02	-2.253853e-03	7.297635e-01	7.297758e-01
4.950000e-02	-8.828353e-03	7.971211e-01	7.971829e-01
4.983333e-02	-3.263958e-03	7.116955e-01	7.117100e-01
5.000000e-02	1.012444e-03	6.598088e-01	6.598157e-01
5.033333e-02	4.349716e-03	6.308275e-01	6.308492e-01
5.100000e-02	-6.062620e-03	7.215033e-01	7.215359e-01
5.125000e-02	6.682393e-03	6.308991e-01	6.309458e-01
5.200000e-02	6.462607e-03	6.230465e-01	6.230911e-01
5.300000e-02	-1.805895e-04	7.272028e-01	7.272179e-01
5.400000e-02	-1.860962e-03	7.131943e-01	7.131967e-01
5.500000e-02	-1.029439e-02	7.943660e-01	7.944349e-01
5.525000e-02	5.111500e-03	6.223678e-01	6.223937e-01
5.550000e-02	2.368916e-02	4.245267e-01	4.251884e-01
5.600000e-02	8.648093e-03	6.025692e-01	6.026344e-01
5.655556e-02	1.651551e-02	4.980178e-01	4.982949e-01
5.700000e-02	8.000258e-03	6.099006e-01	6.099531e-01
5.800000e-02	-1.312167e-02	8.576624e-01	8.577627e-01
5.830000e-02	1.727852e-02	5.106017e-01	5.108940e-01
5.900000e-02	3.341544e-03	6.480131e-01	6.480217e-01
5.971875e-02	4.289917e-02	2.195797e-01	2.237311e-01
6.000000e-02	-3.763465e-04	6.711237e-01	6.711289e-01
6.041667e-02	1.417206e-02	4.854332e-01	4.856400e-01
6.100000e-02	9.159944e-03	5.855675e-01	5.856444e-01
6.200000e-02	2.341551e-03	6.698968e-01	6.699074e-01
6.300000e-02	-4.907633e-03	8.059781e-01	8.060029e-01
6.330000e-02	2.802285e-02	3.838485e-01	3.848701e-01
6.373750e-02	-1.261368e-01	2.045031e+00	2.048929e+00
6.400000e-02	-1.929666e-02	9.579051e-01	9.581033e-01
6.445000e-02	4.402037e-02	2.195307e-01	2.239007e-01
6.472500e-02	6.211449e-03	6.254025e-01	6.254342e-01
6.500000e-02	2.020241e-02	4.975530e-01	4.979645e-01
6.545556e-02	1.253661e-02	5.687417e-01	5.688819e-01
6.600000e-02	1.510493e-02	5.162794e-01	5.165020e-01
6.665833e-02	4.599656e-02	2.195580e-01	2.243243e-01
6.700000e-02	-3.573620e-02	1.005307e+00	1.005943e+00
6.767361e-02	-1.148367e-01	1.920121e+00	1.923553e+00
6.800000e-02	1.217883e-02	5.205246e-01	5.206673e-01
6.829012e-02	1.507442e-02	5.108910e-01	5.111136e-01
6.864506e-02	7.890442e-03	6.055057e-01	6.055581e-01
6.900000e-02	2.281353e-02	4.019193e-01	4.025665e-01
6.933333e-02	1.967076e-02	4.923374e-01	4.927334e-01
7.000000e-02	1.963046e-02	4.793227e-01	4.797252e-01
7.100000e-02	1.849644e-02	4.955040e-01	4.958522e-01
7.200000e-02	1.280214e-02	5.636066e-01	5.637523e-01
7.300000e-02	-5.650176e-02	1.277945e+00	1.279195e+00
7.330822e-02	1.071367e-02	6.129813e-01	6.130758e-01
7.400000e-02	1.810039e-02	5.126867e-01	5.130067e-01
7.432673e-02	9.068849e-03	6.241054e-01	6.241713e-01
7.500000e-02	-1.051818e-01	1.789106e+00	1.792195e+00
7.547432e-02	4.373398e-02	2.196566e-01	2.239680e-01
7.600000e-02	4.303493e-02	2.196726e-01	2.238483e-01
7.642164e-02	4.506177e-02	2.196972e-01	2.242709e-01
7.700000e-02	4.390746e-02	2.196952e-01	2.240398e-01
7.788219e-02	-9.274317e-02	1.712312e+00	1.714822e+00
